owner_id,age,gender,district,city_quarter,breed1,breed1_mixed_breed,breed2,breed_type,dog_year_of_birth,gender_dog,dog_color,roster,first_appearance,appearances,dog_count,dog_age,dog_stage,age_group,age_range,breed1_std
66702,51-60,w,6.0,61.0,Zwergpudel,pure_breed,,K,2008,w,apricot,2015,2015,3,1,8,adult,51-60,50s,POODLE
66757,51-60,w,1.0,14.0,Mischling gross,Mischling,,I,2012,m,braun/beige,2015,2015,3,1,4,adult,51-60,50s,MISCHLING
66898,41-50,m,7.0,73.0,Coton de Tulear,pure_breed,,K,2010,m,weiss,2015,2015,3,1,6,adult,41-50,40s,COTON DE TULEAR
66913,51-60,m,8.0,83.0,Hovawart,pure_breed,,I,2012,w,schwarz,2015,2015,3,2,4,adult,51-60,50s,HOVAWART
66913,51-60,m,8.0,83.0,Hovawart,pure_breed,,I,2004,w,blondfarben,2015,2015,3,2,12,senior,51-60,50s,HOVAWART
67001,51-60,w,3.0,34.0,Mops,pure_breed,,K,2013,m,beige,2015,2015,3,1,3,puppy,51-60,50s,PUG
67018,71-80,w,6.0,61.0,Labrador Retriever,pure_breed,,I,2012,m,beige,2015,2015,3,1,4,adult,71+,70s,LABRADOR RETRIEVER
67054,51-60,m,9.0,91.0,Beagle,pure_breed,,K,2003,w,tricolor,2015,2015,2,1,13,senior,51-60,50s,BEAGLE
67125,51-60,m,7.0,74.0,Golden Retriever,pure_breed,,I,2001,m,golden,2015,2015,3,1,15,senior,51-60,50s,GOLDEN RETRIEVER
67135,31-40,m,6.0,61.0,Jack Russel Terrier,pure_breed,,K,2010,w,tricolor,2015,2015,3,1,6,adult,31-40,30s,JACK RUSSELL TERRIER
67180,51-60,w,1.0,11.0,English Cocker Spaniel,pure_breed,,K,2004,w,blauschimmel,2015,2015,3,1,12,senior,51-60,50s,ENGLISH COCKER SPANIEL
67220,61-70,m,6.0,61.0,Mischling klein,Mischling,,K,2010,m,braun,2015,2015,3,1,6,adult,61-70,60s,MISCHLING
67308,41-50,w,11.0,111.0,Shih Tzu,pure_breed,,K,2012,w,braun/weiss,2015,2015,3,1,4,adult,41-50,40s,SHIH TZU
70076,31-40,m,9.0,92.0,Labrador Retriever,pure_breed,,I,2009,m,braun,2015,2015,3,1,7,adult,31-40,30s,LABRADOR RETRIEVER
70176,41-50,w,4.0,44.0,Mischling gross,Mischling,,I,2012,w,weiss,2015,2015,3,1,4,adult,41-50,40s,MISCHLING
70287,51-60,m,2.0,24.0,Hirtenhund,pure_breed,,I,2006,m,weiss/grau,2015,2015,3,1,10,senior,51-60,50s,BERGAMASCO SHEPHERD DOG
70296,41-50,w,7.0,74.0,Pinscher,Mischling,,K,2009,m,hellbraun,2015,2015,3,2,7,adult,41-50,40s,AFFENPINSCHER
70296,41-50,w,7.0,74.0,Mischling klein,Mischling,,K,2010,w,weiss/beige,2015,2015,3,2,6,adult,41-50,40s,MISCHLING
70577,51-60,w,3.0,34.0,Mischling klein,Mischling,,K,2003,w,schwarz,2015,2015,3,1,13,senior,51-60,50s,MISCHLING
70788,21-30,m,7.0,71.0,Mops,Mischling,Beagle,K,2014,w,braun,2015,2015,3,1,2,puppy,11-30,20s,PUG
70793,71-80,m,11.0,115.0,Soft Coated Wheaten Terrier,pure_breed,,I,2012,m,beige,2015,2015,3,1,4,adult,71+,70s,IRISH SOFT COATED WHEATEN TERRIER
71024,61-70,w,7.0,74.0,Lagotto Romagnolo,pure_breed,,I,2012,w,bianco-aranico,2015,2015,3,1,4,adult,61-70,60s,ROMAGNA WATER DOG
71119,51-60,w,9.0,91.0,Zwergpinscher,pure_breed,,K,2003,w,black/tan,2015,2015,3,3,13,senior,51-60,50s,MINIATURE PINSCHER
71119,51-60,w,9.0,91.0,Prager Rattler,Mischling,Chihuahua,K,2010,w,black/tan,2015,2015,3,3,6,adult,51-60,50s,PRAGUE RATTER
71119,51-60,w,9.0,91.0,Chihuahua,Mischling,Prager Rattler,K,2010,m,black/tan,2015,2015,3,3,6,adult,51-60,50s,CHIHUAHUA
71142,51-60,w,7.0,71.0,Canaan Dog,pure_breed,,I,2008,m,schwarz,2015,2015,3,1,8,adult,51-60,50s,CANAAN DOG
71344,51-60,w,6.0,63.0,Labrador Retriever,pure_breed,,I,2002,w,gelb,2015,2015,2,1,14,senior,51-60,50s,LABRADOR RETRIEVER
71475,31-40,m,3.0,34.0,Lagotto Romagnolo,pure_breed,,I,2015,m,weiss/braun,2015,2015,2,1,1,puppy,31-40,30s,ROMAGNA WATER DOG
71542,41-50,m,9.0,92.0,Golden Retriever,pure_breed,,I,2003,w,blondfarben,2015,2015,1,1,13,senior,41-50,40s,GOLDEN RETRIEVER
71555,61-70,m,7.0,71.0,Mischling klein,Mischling,,K,2009,m,schwarz schimmel,2015,2015,3,1,7,adult,61-70,60s,MISCHLING
71670,51-60,m,7.0,71.0,Deutscher Schäfer,pure_breed,,I,2012,w,braun,2015,2015,3,1,4,adult,51-60,50s,GERMAN SHEPHERD DOG
71757,41-50,m,4.0,42.0,Bouvier,pure_breed,,I,2012,m,gestromt,2015,2015,3,1,4,adult,41-50,40s,APPENZELL CATTLE DOG
71761,41-50,m,9.0,92.0,Jack Russel Terrier,pure_breed,,K,2010,m,tricolor,2015,2015,3,1,6,adult,41-50,40s,JACK RUSSELL TERRIER
71893,41-50,w,6.0,63.0,Border Collie,pure_breed,,I,2012,w,tricolor,2015,2015,3,1,4,adult,41-50,40s,BORDER COLLIE
71915,71-80,w,1.0,13.0,Mischling klein,Mischling,,K,2002,m,grau,2015,2015,3,1,14,senior,71+,70s,MISCHLING
72136,51-60,m,7.0,72.0,Labrador Retriever,pure_breed,,I,2007,m,choco,2015,2015,3,1,9,senior,51-60,50s,LABRADOR RETRIEVER
72355,61-70,m,1.0,11.0,Fox terrier,pure_breed,,K,2005,m,tricolor,2015,2015,2,1,11,senior,61-70,60s,ENGLISH TOY TERRIER (BLACK &TAN)
72580,41-50,m,10.0,102.0,Prager Rattler,pure_breed,,K,2013,m,braun,2015,2015,3,2,3,puppy,41-50,40s,PRAGUE RATTER
72580,41-50,m,10.0,102.0,Prager Rattler,pure_breed,,K,2013,m,hellbraun,2015,2015,3,2,3,puppy,41-50,40s,PRAGUE RATTER
80006,61-70,m,3.0,31.0,Appenzeller Sennenhund,Mischling,,I,2005,m,schwarz/weiss/braun,2015,2015,2,1,11,senior,61-70,60s,APPENZELL CATTLE DOG
