dog_breed,dog_breed_type_short,dog_breed_type,query_match
Husky,I,Rassentypenliste I,SIBERIAN HUSKY
Iberischer Laufhund,I,Rassentypenliste I,
Irish Setter,I,Rassentypenliste I,IRISH RED AND WHITE SETTER
Irish Soft Coated Wheaten Terrier,I,Rassentypenliste I,IRISH SOFT COATED WHEATEN TERRIER
Irish Terrier,I,Rassentypenliste I,IRISH TERRIER
Irish Water Spaniel,I,Rassentypenliste I,IRISH WATER SPANIEL
Irish Wolfhound,I,Rassentypenliste I,IRISH WOLFHOUND
Islandhund,K,Kleinwüchsig,ICELANDIC SHEEPDOG
Italienische Bracke,I,Rassentypenliste I,
Italienischer Laufhund,I,Rassentypenliste I,ITALIAN ROUGH-HAIRED SEGUGIO
Italienisches Windspiel,K,Kleinwüchsig,ITALIAN SIGHTHOUND
Jack Russel Terrier,K,Kleinwüchsig,
Jagdhund,I,Rassentypenliste I,POLISH HUNTING DOG
Japan Chin,K,Kleinwüchsig,
Jura Laufhund,I,Rassentypenliste I,SWISS HOUND
Kanaan,I,Rassentypenliste I,CANAAN DOG
Kanadischer Schäfer,I,Rassentypenliste I,
Kangal,I,Rassentypenliste I,KANGAL SHEPHERD DOG
Kaninchen-Dachshund,K,Kleinwüchsig,
Katalanischer Hirtenhund,I,Rassentypenliste I,
Katalanischer Schäferhund,I,Rassentypenliste I,CATALAN SHEEPDOG
Kaukasischer Schäfer,I,Rassentypenliste I,CAUCASIAN SHEPHERD DOG
Kerry Blue Terrier,I,Rassentypenliste I,KERRY BLUE TERRIER
King Charles Spaniel,K,Kleinwüchsig,CAVALIER KING CHARLES SPANIEL
Kleiner Münsterländer,I,Rassentypenliste I,KLEINER MÜNSTERLÄNDER
Kleinspitz,K,Kleinwüchsig,
Kooiker,K,Kleinwüchsig,NEDERLANDSE KOOIKERHONDJE
Kromfohrländer,I,Rassentypenliste I,KROMFOHRLÄNDER
Kurzhaar Dackel,K,Kleinwüchsig,
Kuvasz,I,Rassentypenliste I,KUVASZ
Königspudel,I,Rassentypenliste I,
Labradoodle,I,Rassentypenliste I,
Labrador Bless,I,Rassentypenliste I,
Labrador Retriever,I,Rassentypenliste I,LABRADOR RETRIEVER
