breed,link,translations,alt_names,no_accent,breed_en
CANAAN DOG,https://fci.be/en/nomenclature/CANAAN-DOG-273.html,"['CANAAN DOG', 'CHIEN DE CANAAN', 'KANAAN-HUND', 'CANAAN DOG']","['canaan dog', 'chien de canaan', 'kanaan-hund']","['canaan dog', 'chien de canaan', 'kanaan-hund']",CANAAN DOG
CANADIAN ESKIMO DOG,https://fci.be/en/nomenclature/CANADIAN-ESKIMO-DOG-211.html,"['CANADIAN ESKIMO DOG', 'CHIEN ESQUIMAU CANADIEN', 'KANADISCHER ESKIMOHUND', 'PERRO ESQUIMAL CANADIENSE']","['canadian eskimo dog', 'chien esquimau canadien', 'perro esquimal canadiense', 'kanadischer eskimohund']","['canadian eskimo dog', 'chien esquimau canadien', 'perro esquimal canadiense', 'kanadischer eskimohund']",CANADIAN ESKIMO DOG
CANE CORSO ITALIANO,https://fci.be/en/nomenclature/ITALIAN-CANE-CORSO-343.html,"['ITALIAN CANE CORSO', 'CHIEN DE COUR ITALIEN', 'ITALIENISCHER CORSO-HUND', 'CANE CORSO']","['chien de cour italien', 'italienischer corso-hund', 'italian cane corso', 'cane corso italiano', 'cane corso']","['chien de cour italien', 'italienischer corso-hund', 'italian cane corso', 'cane corso italiano', 'cane corso']",ITALIAN CANE CORSO
CANE DA PASTORE BERGAMASCO,https://fci.be/en/nomenclature/BERGAMASCO-SHEPHERD-DOG-194.html,"['BERGAMASCO SHEPHERD DOG', 'BERGER BERGAMASQUE', 'BERGAMASKER HIRTENHUND', 'PERRO DE PASTOR BERGAMASCO']","['bergamasker hirtenhund', 'perro de pastor bergamasco', 'bergamasco shepherd dog', 'berger bergamasque', 'cane da pastore bergamasco']","['bergamasker hirtenhund', 'perro de pastor bergamasco', 'bergamasco shepherd dog', 'berger bergamasque', 'cane da pastore bergamasco']",BERGAMASCO SHEPHERD DOG
CANE DA PASTORE MAREMMANO-ABRUZZESE,https://fci.be/en/nomenclature/MAREMMA-AND-THE-ABRUZZES-SHEEPDOG-201.html,"['MAREMMA AND THE ABRUZZES SHEEPDOG', 'BERGER DE LA MAREMME ET DES ABRUZZES', 'MAREMMEN-ABRUZZEN-SCHÄFERHUND', 'PERRO DE PASTOR DE LA MAREMMA Y DE LOS ABRUZOS']","['cane da pastore maremmano-abruzzese', 'maremma and the abruzzes sheepdog', 'maremmen-abruzzen-schäferhund', 'berger de la maremme et des abruzzes', 'perro de pastor de la maremma y de los abruzos']","['cane da pastore maremmano-abruzzese', 'maremma and the abruzzes sheepdog', 'maremmen-abruzzen-schaferhund', 'berger de la maremme et des abruzzes', 'perro de pastor de la maremma y de los abruzos']",MAREMMA AND THE ABRUZZES SHEEPDOG
CANICHE,https://fci.be/en/nomenclature/POODLE-172.html,"['POODLE', 'CANICHE', 'PUDEL', 'CANICHE']","['pudel', 'caniche', 'poodle']","['pudel', 'caniche', 'poodle']",POODLE
CÃO DA SERRA DA ESTRELA,https://fci.be/en/nomenclature/ESTRELA-MOUNTAIN-DOG-173.html,"['ESTRELA MOUNTAIN DOG', 'CHIEN DE LA SERRA DA ESTRELA', 'SERRA-DA-ESTRELA-BERGHUND', 'PERRO DE LA SIERRA DE LA ESTRELA']","['chien de la serra da estrela', 'perro de la sierra de la estrela', 'serra-da-estrela-berghund', 'cão da serra da estrela', 'estrela mountain dog']","['chien de la serra da estrela', 'perro de la sierra de la estrela', 'serra-da-estrela-berghund', 'cao da serra da estrela', 'estrela mountain dog']",ESTRELA MOUNTAIN DOG
CÃO DA SERRA DE AIRES,https://fci.be/en/nomenclature/PORTUGUESE-SHEEPDOG-93.html,"['PORTUGUESE SHEEPDOG', 'CHIEN DE BERGER DE LA SERRA DE AIRES', 'PORTUGIESISCHER SCHÄFERHUND', 'PERRO DE PASTOR PORTUGUÉS']","['chien de berger de la serra de aires', 'portugiesischer schäferhund', 'perro de pastor portugués', 'cão da serra de aires', 'portuguese sheepdog']","['chien de berger de la serra de aires', 'portugiesischer schaferhund', 'perro de pastor portugues', 'cao da serra de aires', 'portuguese sheepdog']",PORTUGUESE SHEEPDOG
CÃO DE AGUA PORTUGUÊS,https://fci.be/en/nomenclature/PORTUGUESE-WATER-DOG-37.html,"['PORTUGUESE WATER DOG', ""CHIEN D'EAU PORTUGAIS"", 'PORTUGIESISCHER WASSERHUND', 'PERRO DE AGUA PORTUGUÉS']","['portugiesischer wasserhund', ""chien d'eau portugais"", 'portuguese water dog', 'cão de agua português', 'perro de agua portugués']","['portugiesischer wasserhund', ""chien d'eau portugais"", 'portuguese water dog', 'cao de agua portugues', 'perro de agua portugues']",PORTUGUESE WATER DOG
CÃO DE CASTRO LABOREIRO,https://fci.be/en/nomenclature/CASTRO-LABOREIRO-DOG-170.html,"['CASTRO LABOREIRO DOG', 'CHIEN DE CASTRO LABOREIRO', 'CASTRO-LABOREIRO-HUND', 'PERRO DE CASTRO LABOREIRO']","['castro-laboreiro-hund', 'cão de castro laboreiro', 'perro de castro laboreiro', 'castro laboreiro dog', 'chien de castro laboreiro']","['castro-laboreiro-hund', 'cao de castro laboreiro', 'perro de castro laboreiro', 'castro laboreiro dog', 'chien de castro laboreiro']",CASTRO LABOREIRO DOG
CÃO DE GADO TRANSMONTANO,https://fci.be/en/nomenclature/TRANSMONTANO-MASTIFF-368.html,"['TRANSMONTANO MASTIFF', 'MÂTIN TRANSMONTANO', 'TRANSMONTANO-HIRTENHUND', 'MASTÍN TRANSMONTANO']","['transmontano-hirtenhund', 'cão de gado transmontano', 'mâtin transmontano', 'mastín transmontano', 'transmontano mastiff']","['transmontano-hirtenhund', 'cao de gado transmontano', 'matin transmontano', 'mastin transmontano', 'transmontano mastiff']",TRANSMONTANO MASTIFF
CÃO FILA DE SÃO MIGUEL,https://fci.be/en/nomenclature/SAINT-MIGUEL-CATTLE-DOG-340.html,"['SAINT MIGUEL CATTLE DOG', 'FILA DE SAINT MIGUEL', 'CAO FILA DE SAO MIGUEL', 'FILA DE SAN MIGUEL']","['cao fila de sao miguel', 'saint miguel cattle dog', 'cão fila de são miguel', 'fila de san miguel', 'fila de saint miguel']","['cao fila de sao miguel', 'saint miguel cattle dog', 'cao fila de sao miguel', 'fila de san miguel', 'fila de saint miguel']",SAINT MIGUEL CATTLE DOG
CAVALIER KING CHARLES SPANIEL,https://fci.be/en/nomenclature/CAVALIER-KING-CHARLES-SPANIEL-136.html,"['CAVALIER KING CHARLES SPANIEL', 'CAVALIER KING CHARLES SPANIEL', 'CAVALIER KING CHARLES SPANIEL', 'CAVALIER KING CHARLES SPANIEL']",['cavalier king charles spaniel'],['cavalier king charles spaniel'],CAVALIER KING CHARLES SPANIEL
CESKOSLOVENSKÝ VLCIAK,https://fci.be/en/nomenclature/CZECHOSLOVAKIAN-WOLFDOG-332.html,"['CZECHOSLOVAKIAN WOLFDOG', 'CHIEN LOUP TCHECOSLOVAQUE', 'TSCHECHOSLOWAKISCHER WOLFHUND', 'PERRO LOBO CHECOSLOVACO']","['tschechoslowakischer wolfhund', 'ceskoslovenský vlciak', 'chien loup tchecoslovaque', 'czechoslovakian wolfdog', 'perro lobo checoslovaco']","['tschechoslowakischer wolfhund', 'ceskoslovensky vlciak', 'chien loup tchecoslovaque', 'czechoslovakian wolfdog', 'perro lobo checoslovaco']",CZECHOSLOVAKIAN WOLFDOG
